duration,month,hour,day_of_week,user_type
15,3,23,Thursday,Subscriber
3,3,22,Thursday,Subscriber
2,3,22,Thursday,Subscriber
19,3,22,Thursday,Subscriber
10,3,22,Thursday,Subscriber
19,3,21,Thursday,Subscriber
6,3,21,Thursday,Subscriber
17,3,20,Thursday,Subscriber
6,3,20,Thursday,Subscriber
6,3,20,Thursday,Subscriber
11,3,20,Thursday,Subscriber
8,3,20,Thursday,Subscriber
8,3,19,Thursday,Subscriber
36,3,19,Thursday,Subscriber
5,3,19,Thursday,Subscriber
5,3,19,Thursday,Subscriber
6,3,19,Thursday,Subscriber
12,3,19,Thursday,Subscriber
2,3,19,Thursday,Subscriber
8,3,19,Thursday,Subscriber
6,3,19,Thursday,Subscriber
13,3,18,Thursday,Subscriber
20,3,18,Thursday,Subscriber
21,3,18,Thursday,Customer
14,3,18,Thursday,Subscriber
6,3,18,Thursday,Subscriber
10,3,18,Thursday,Subscriber
4,3,18,Thursday,Subscriber
9,3,18,Thursday,Subscriber
4,3,17,Thursday,Subscriber
7,3,17,Thursday,Subscriber
9,3,17,Thursday,Subscriber
2,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
4,3,17,Thursday,Subscriber
9,3,17,Thursday,Subscriber
4,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
22,3,17,Thursday,Customer
20,3,17,Thursday,Subscriber
9,3,17,Thursday,Subscriber
6,3,17,Thursday,Subscriber
10,3,17,Thursday,Subscriber
29,3,17,Thursday,Subscriber
2,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
10,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
10,3,17,Thursday,Subscriber
6,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
5,3,16,Thursday,Subscriber
8,3,16,Thursday,Subscriber
19,3,16,Thursday,Subscriber
12,3,16,Thursday,Subscriber
8,3,16,Thursday,Subscriber
10,3,16,Thursday,Subscriber
4,3,16,Thursday,Subscriber
9,3,16,Thursday,Subscriber
18,3,16,Thursday,Subscriber
26,3,16,Thursday,Customer
3,3,16,Thursday,Subscriber
12,3,16,Thursday,Customer
16,3,16,Thursday,Subscriber
2,3,16,Thursday,Subscriber
37,3,16,Thursday,Subscriber
25,3,15,Thursday,Customer
11,3,15,Thursday,Subscriber
11,3,15,Thursday,Subscriber
8,3,15,Thursday,Subscriber
30,3,15,Thursday,Subscriber
29,3,15,Thursday,Customer
23,3,15,Thursday,Subscriber
3,3,15,Thursday,Subscriber
3,3,15,Thursday,Subscriber
10,3,14,Thursday,Customer
16,3,14,Thursday,Subscriber
24,3,14,Thursday,Customer
10,3,14,Thursday,Subscriber
5,3,14,Thursday,Customer
25,3,14,Thursday,Subscriber
3,3,14,Thursday,Subscriber
189,3,14,Thursday,Subscriber
6,3,13,Thursday,Subscriber
1,3,13,Thursday,Subscriber
26,3,13,Thursday,Customer
91,3,12,Thursday,Customer
5,3,12,Thursday,Subscriber
