duration,month,hour,day_of_week,user_type
7,3,22,Thursday,Subscriber
9,3,22,Thursday,Subscriber
6,3,22,Thursday,Subscriber
7,3,22,Thursday,Subscriber
13,3,22,Thursday,Subscriber
17,3,22,Thursday,Subscriber
11,3,22,Thursday,Subscriber
30,3,21,Thursday,Subscriber
3,3,21,Thursday,Subscriber
6,3,21,Thursday,Subscriber
16,3,21,Thursday,Customer
4,3,21,Thursday,Subscriber
102,3,21,Thursday,Customer
23,3,21,Thursday,Subscriber
2,3,20,Thursday,Subscriber
2,3,20,Thursday,Subscriber
9,3,20,Thursday,Customer
4,3,20,Thursday,Subscriber
3,3,20,Thursday,Subscriber
19,3,20,Thursday,Subscriber
7,3,20,Thursday,Subscriber
37,3,20,Thursday,Subscriber
6,3,19,Thursday,Subscriber
5,3,19,Thursday,Subscriber
12,3,19,Thursday,Subscriber
12,3,19,Thursday,Customer
6,3,19,Thursday,Subscriber
20,3,19,Thursday,Subscriber
5,3,19,Thursday,Subscriber
25,3,19,Thursday,Customer
12,3,19,Thursday,Subscriber
36,3,18,Thursday,Customer
14,3,18,Thursday,Subscriber
17,3,18,Thursday,Subscriber
91,3,18,Thursday,Subscriber
5,3,18,Thursday,Subscriber
8,3,18,Thursday,Subscriber
7,3,18,Thursday,Subscriber
5,3,18,Thursday,Subscriber
17,3,18,Thursday,Subscriber
13,3,18,Thursday,Customer
18,3,18,Thursday,Subscriber
23,3,18,Thursday,Subscriber
13,3,18,Thursday,Subscriber
12,3,18,Thursday,Subscriber
12,3,18,Thursday,Subscriber
17,3,18,Thursday,Subscriber
19,3,18,Thursday,Subscriber
7,3,18,Thursday,Subscriber
12,3,18,Thursday,Subscriber
3,3,18,Thursday,Subscriber
15,3,17,Thursday,Subscriber
23,3,17,Thursday,Customer
20,3,17,Thursday,Subscriber
10,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
13,3,17,Thursday,Subscriber
20,3,17,Thursday,Subscriber
24,3,17,Thursday,Subscriber
46,3,17,Thursday,Customer
13,3,17,Thursday,Subscriber
6,3,17,Thursday,Subscriber
19,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
8,3,17,Thursday,Subscriber
19,3,17,Thursday,Subscriber
22,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
14,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
5,3,17,Thursday,Subscriber
8,3,17,Thursday,Subscriber
12,3,17,Thursday,Subscriber
9,3,16,Thursday,Subscriber
17,3,16,Thursday,Customer
27,3,16,Thursday,Customer
1,3,16,Thursday,Subscriber
12,3,16,Thursday,Subscriber
13,3,16,Thursday,Subscriber
5,3,16,Thursday,Subscriber
10,3,16,Thursday,Subscriber
8,3,16,Thursday,Subscriber
28,3,16,Thursday,Subscriber
5,3,16,Thursday,Subscriber
31,3,16,Thursday,Customer
11,3,16,Thursday,Customer
7,3,16,Thursday,Subscriber
12,3,15,Thursday,Customer
7,3,15,Thursday,Subscriber
8,3,15,Thursday,Subscriber
9,3,15,Thursday,Subscriber
6,3,15,Thursday,Subscriber
9,3,15,Thursday,Subscriber
6,3,15,Thursday,Subscriber
4,3,15,Thursday,Subscriber
51,3,15,Thursday,Customer
2,3,15,Thursday,Subscriber
12,3,15,Thursday,Subscriber
21,3,15,Thursday,Subscriber
74,3,14,Thursday,Customer
3,3,14,Thursday,Subscriber
28,3,14,Thursday,Subscriber
5,3,14,Thursday,Subscriber
97,3,14,Thursday,Subscriber
13,3,14,Thursday,Subscriber
4,3,14,Thursday,Subscriber
7,3,14,Thursday,Subscriber
126,3,14,Thursday,Customer
4,3,14,Thursday,Subscriber
7,3,14,Thursday,Customer
6,3,14,Thursday,Subscriber
23,3,13,Thursday,Customer
15,3,13,Thursday,Subscriber
14,3,13,Thursday,Subscriber
20,3,13,Thursday,Subscriber
8,3,13,Thursday,Subscriber
166,3,13,Thursday,Customer
41,3,13,Thursday,Customer
32,3,13,Thursday,Customer
12,3,13,Thursday,Subscriber
10,3,13,Thursday,Subscriber
4,3,12,Thursday,Subscriber
7,3,12,Thursday,Subscriber
5,3,12,Thursday,Subscriber
12,3,12,Thursday,Subscriber
17,3,12,Thursday,Subscriber
10,3,12,Thursday,Subscriber
170,3,12,Thursday,Customer
150,3,12,Thursday,Customer
8,3,12,Thursday,Customer
20,3,12,Thursday,Subscriber
20,3,12,Thursday,Subscriber
2,3,12,Thursday,Subscriber
126,3,12,Thursday,Customer
21,3,12,Thursday,Subscriber
38,3,12,Thursday,Customer
6,3,11,Thursday,Subscriber
24,3,11,Thursday,Customer
8,3,11,Thursday,Subscriber
3,3,11,Thursday,Subscriber
28,3,11,Thursday,Customer
16,3,11,Thursday,Subscriber
103,3,11,Thursday,Customer
16,3,11,Thursday,Customer
6,3,11,Thursday,Subscriber
33,3,11,Thursday,Subscriber
2,3,10,Thursday,Subscriber
9,3,10,Thursday,Subscriber
10,3,10,Thursday,Customer
6,3,10,Thursday,Subscriber
5,3,10,Thursday,Subscriber
5,3,10,Thursday,Subscriber
2,3,10,Thursday,Subscriber
42,3,10,Thursday,Customer
6,3,10,Thursday,Subscriber
20,3,10,Thursday,Subscriber
24,3,10,Thursday,Customer
30,3,10,Thursday,Customer
3,3,9,Thursday,Subscriber
3,3,9,Thursday,Subscriber
13,3,9,Thursday,Customer
